06-30-2025 03:00:01.283 INFO  AstOptimizer [49596 searchOrchestrator] - SrchOptMetrics optimization=0.016
06-30-2025 03:00:01.283 INFO  SearchPhaseGenerator [49596 searchOrchestrator] - Optimized Search = | rest /services/server/info splunk_server=local | fields + guid, splunk_server
06-30-2025 03:00:01.283 INFO  ScopedTimer [49596 searchOrchestrator] - search.optimize 0.016
06-30-2025 03:00:01.283 ERROR DatamodelServiceConfiguration [49596 searchOrchestrator] - Failed to get datamodel_service_enabled from limits.conf, use the default value 0.
06-30-2025 03:00:01.283 INFO  ParallelReducePolicy [49596 searchOrchestrator] - Current Search Head doesn't have any usable peers to use.
06-30-2025 03:00:01.284 INFO  PhaseToPipelineVisitor [49596 searchOrchestrator] - Phase Search =  | rest /services/server/info splunk_server=local | fields + guid, splunk_server
06-30-2025 03:00:01.284 INFO  SearchParser [49596 searchOrchestrator] - PARSING:  | rest /services/server/info splunk_server=local | fields + guid, splunk_server
06-30-2025 03:00:01.284 INFO  SearchOperator:rest [49596 searchOrchestrator] - built uri=/services/server/info?count=0, server=https://127.0.0.1:8089
06-30-2025 03:00:01.284 INFO  SearchPipeline [49596 searchOrchestrator] - ReportSearch=1 AllowBatchMode=0
06-30-2025 03:00:01.284 INFO  SearchParser [49596 searchOrchestrator] - PARSING: prerest splunk_server="BEER-PC01" timeout=60 "/services/server/info?count=0"
06-30-2025 03:00:01.284 INFO  SearchOperator:rest [49596 searchOrchestrator] - built uri=/services/server/info?count=0, server=https://127.0.0.1:8089
06-30-2025 03:00:01.284 INFO  SearchPhaseGenerator [49596 searchOrchestrator] - Disabling timeliner since source is not an event index
06-30-2025 03:00:01.284 INFO  SearchPhaseGenerator [49596 searchOrchestrator] - Disabling timeliner since event search is empty
06-30-2025 03:00:01.284 INFO  SearchPhaseGenerator [49596 searchOrchestrator] - No need for RTWindowProcessor
06-30-2025 03:00:01.284 INFO  SearchPhaseGenerator [49596 searchOrchestrator] - Timeliner will not be executed
06-30-2025 03:00:01.284 INFO  SearchPhaseGenerator [49596 searchOrchestrator] - required fields list to add to different pipelines = *
06-30-2025 03:00:01.284 INFO  SearchPhaseGenerator [49596 searchOrchestrator] - Adding noop to provide result collation at search head
06-30-2025 03:00:01.284 INFO  SearchParser [49596 searchOrchestrator] - PARSING: noop
06-30-2025 03:00:01.284 INFO  SearchPhaseGenerator [49596 searchOrchestrator] - Search Phases created.
06-30-2025 03:00:01.289 INFO  UserManager [49596 searchOrchestrator] - Setting user context: admin
06-30-2025 03:00:01.289 INFO  UserManager [49596 searchOrchestrator] - Free version does not have user services
06-30-2025 03:00:01.289 INFO  UserManager [49596 searchOrchestrator] - Done setting user context: NULL -> NULL
06-30-2025 03:00:01.289 INFO  UserManager [49596 searchOrchestrator] - Unwound user context: NULL -> NULL
06-30-2025 03:00:01.291 INFO  DistributedSearchResultCollectionManager [49596 searchOrchestrator] - Stream search: prerest  splunk_server="BEER-PC01" timeout=60 "/services/server/info?count=0"
06-30-2025 03:00:01.291 INFO  ExternalResultProvider [49596 searchOrchestrator] - No external result providers are configured
06-30-2025 03:00:01.291 INFO  DistributedSearchResultCollectionManager [49596 searchOrchestrator] - ERP_FACTORY initialized, but zero external result provider, hence disabling _isERPCollectionEnabled
06-30-2025 03:00:01.293 INFO  DistributedSearchResultCollectionManager [49596 searchOrchestrator] - results_queue_read_timeout_sec=900.000 send_timeout=30.000 connect_timeout=10.000 receive_timeout=600.000
06-30-2025 03:00:01.293 INFO  DistributedSearchResultCollectionManager [49596 searchOrchestrator] - No default search group set.
06-30-2025 03:00:01.293 INFO  SearchTargeter [49596 searchOrchestrator] - should contact peer:BEER-PC01 regex=BEER-PC01 1
06-30-2025 03:00:01.293 INFO  DistributedSearchResultCollectionManager [49596 searchOrchestrator] - Connecting to peer BEER-PC01 connectAll 0 connectToSpecificPeer 1
06-30-2025 03:00:01.293 INFO  UserManager [37412 SearchResultExecutorThread] - Setting user context: admin
06-30-2025 03:00:01.293 INFO  SearchPhaseGenerator [49596 searchOrchestrator] - Time spends on creating distributed search results infrastructure; dispatchcreatedSearchResultInfrastructure=0.000 seconds.
06-30-2025 03:00:01.293 INFO  UserManager [18044 SearchResultExecutorThread] - Setting user context: admin
06-30-2025 03:00:01.293 INFO  UserManager [18044 SearchResultExecutorThread] - Free version does not have user services
