2023-11-21 14:27:21,409 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: remoteGroupsMatchExact (int): 0
2023-11-21 14:27:21,409 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: remoteGroupsQuoted (bool): False
2023-11-21 14:27:21,409 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: remoteUser (str): REMOTE-USER
2023-11-21 14:27:21,409 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: remoteUserMatchExact (int): 0
2023-11-21 14:27:21,409 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: request.show_tracebacks (bool): True
2023-11-21 14:27:21,409 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: response.timeout (int): 7200
2023-11-21 14:27:21,409 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: root_endpoint (str): /
2023-11-21 14:27:21,409 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: rss_endpoint (str): /rss
2023-11-21 14:27:21,409 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: sendStrictTransportSecurityHeader (bool): False
2023-11-21 14:27:21,409 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: server.max_request_body_size (int): 524288000
2023-11-21 14:27:21,409 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: server.socket_host (str): 127.0.0.1
2023-11-21 14:27:21,410 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: server.socket_port (int): 8065
2023-11-21 14:27:21,410 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: server.thread_pool (int): 50
2023-11-21 14:27:21,410 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: serverCert (str): $SPLUNK_HOME\etc\auth\splunkweb\cert.pem
2023-11-21 14:27:21,410 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: serverName (str): 
2023-11-21 14:27:21,410 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: showProductMenu (bool): False
2023-11-21 14:27:21,410 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: showUserMenuProfile (bool): False
2023-11-21 14:27:21,410 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: simple_error_page (bool): False
2023-11-21 14:27:21,410 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: site_packages_path (str): C:\Program Files\Splunk\Python-3.7\lib\site-packages
2023-11-21 14:27:21,410 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: splunk_dashboard_app_name (str): splunk-dashboard-app
2023-11-21 14:27:21,410 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: splunkdConnectionTimeout (int): 30
2023-11-21 14:27:21,410 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: splunkdTrustedIP (NoneType): None
2023-11-21 14:27:21,410 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: sslVersions (str): tls1.2
2023-11-21 14:27:21,410 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: start_time (float): 1700569641.3995092
2023-11-21 14:27:21,411 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: startwebserver (int): 1
2023-11-21 14:27:21,411 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: staticAssetId (str): 000
2023-11-21 14:27:21,411 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: staticCompressionLevel (int): 9
2023-11-21 14:27:21,411 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: static_dir (str): share/splunk/search_mrsparkle/exposed
2023-11-21 14:27:21,411 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: static_endpoint (str): /static
2023-11-21 14:27:21,411 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: staticdir (str): C:\Program Files\Splunk\share\splunk\search_mrsparkle\exposed
2023-11-21 14:27:21,411 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: template_dir (str): share/splunk/search_mrsparkle/templates
2023-11-21 14:27:21,411 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: testing_dir (str): share/splunk/testing
2023-11-21 14:27:21,411 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: testing_endpoint (str): /testing
2023-11-21 14:27:21,411 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.csrfcookie.name (str): splunkweb_csrf_token_8000
2023-11-21 14:27:21,412 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.csrfcookie.port (str): 8000
2023-11-21 14:27:21,412 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.decode.on (bool): True
2023-11-21 14:27:21,412 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.encode.encoding (str): utf-8
2023-11-21 14:27:21,412 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.encode.on (bool): True
2023-11-21 14:27:21,412 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.encode.text_only (bool): False
2023-11-21 14:27:21,412 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.hook_injection_tool.on (bool): True
2023-11-21 14:27:21,412 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.log_headers.on (bool): True
