key,time,count
Primary Type,0CAJA5QG000000,321
Updated On,0CAJA5QG000000,321
Ward,0CAJA5QG000000,320
X Coordinate,0CAJA5QG000000,178
Y Coordinate,0CAJA5QG000000,178
Year,0CAJA5QG000000,321
date_hour,0CAJA5QG000000,321
date_mday,0CAJA5QG000000,321
date_minute,0CAJA5QG000000,321
date_month,0CAJA5QG000000,321
date_second,0CAJA5QG000000,321
date_wday,0CAJA5QG000000,321
date_year,0CAJA5QG000000,321
date_zone,0CAJA5QG000000,321
host,0CAJA5QG000000,321
linecount,0CAJA5QG000000,321
punct,0CAJA5QG000000,321
source,0CAJA5QG000000,321
sourcetype,0CAJA5QG000000,321
timeendpos,0CAJA5QG000000,321
timestartpos,0CAJA5QG000000,321
,0CALRTEG000000,137
Arrest,0CALRTEG000000,137
Beat,0CALRTEG000000,137
Block,0CALRTEG000000,137
Case Number,0CALRTEG000000,137
Community Area,0CALRTEG000000,137
Date,0CALRTEG000000,137
Description,0CALRTEG000000,137
District,0CALRTEG000000,137
Domestic,0CALRTEG000000,137
FBI Code,0CALRTEG000000,137
ID,0CALRTEG000000,137
IUCR,0CALRTEG000000,137
Latitude,0CALRTEG000000,59
Location,0CALRTEG000000,59
Location Description,0CALRTEG000000,133
Longitude,0CALRTEG000000,59
Primary Type,0CALRTEG000000,137
Updated On,0CALRTEG000000,137
Ward,0CALRTEG000000,137
X Coordinate,0CALRTEG000000,59
Y Coordinate,0CALRTEG000000,59
Year,0CALRTEG000000,137
date_hour,0CALRTEG000000,137
date_mday,0CALRTEG000000,137
date_minute,0CALRTEG000000,137
date_month,0CALRTEG000000,137
date_second,0CALRTEG000000,137
date_wday,0CALRTEG000000,137
date_year,0CALRTEG000000,137
date_zone,0CALRTEG000000,137
host,0CALRTEG000000,137
linecount,0CALRTEG000000,137
punct,0CALRTEG000000,137
source,0CALRTEG000000,137
sourcetype,0CALRTEG000000,137
timeendpos,0CALRTEG000000,137
timestartpos,0CALRTEG000000,137
,0CAOB0MG000000,242
Arrest,0CAOB0MG000000,242
Beat,0CAOB0MG000000,242
Block,0CAOB0MG000000,242
Case Number,0CAOB0MG000000,242
Community Area,0CAOB0MG000000,242
Date,0CAOB0MG000000,242
Description,0CAOB0MG000000,242
District,0CAOB0MG000000,242
Domestic,0CAOB0MG000000,242
FBI Code,0CAOB0MG000000,242
ID,0CAOB0MG000000,242
IUCR,0CAOB0MG000000,242
Latitude,0CAOB0MG000000,89
Location,0CAOB0MG000000,89
Location Description,0CAOB0MG000000,224
Longitude,0CAOB0MG000000,89
Primary Type,0CAOB0MG000000,242
Updated On,0CAOB0MG000000,242
Ward,0CAOB0MG000000,242
X Coordinate,0CAOB0MG000000,89
Y Coordinate,0CAOB0MG000000,89
Year,0CAOB0MG000000,242
date_hour,0CAOB0MG000000,242
date_mday,0CAOB0MG000000,242
date_minute,0CAOB0MG000000,242
date_month,0CAOB0MG000000,242
date_second,0CAOB0MG000000,242
date_wday,0CAOB0MG000000,242
date_year,0CAOB0MG000000,242
date_zone,0CAOB0MG000000,242
host,0CAOB0MG000000,242
linecount,0CAOB0MG000000,242
punct,0CAOB0MG000000,242
source,0CAOB0MG000000,242
sourcetype,0CAOB0MG000000,242
timeendpos,0CAOB0MG000000,242
timestartpos,0CAOB0MG000000,242
,0CAQSRR0000000,478
Arrest,0CAQSRR0000000,478
Beat,0CAQSRR0000000,478
Block,0CAQSRR0000000,478
Case Number,0CAQSRR0000000,478
Community Area,0CAQSRR0000000,478
Date,0CAQSRR0000000,478
Description,0CAQSRR0000000,478
District,0CAQSRR0000000,478
Domestic,0CAQSRR0000000,478
FBI Code,0CAQSRR0000000,478
ID,0CAQSRR0000000,478
IUCR,0CAQSRR0000000,478
Latitude,0CAQSRR0000000,186
Location,0CAQSRR0000000,186
Location Description,0CAQSRR0000000,446
Longitude,0CAQSRR0000000,186
Primary Type,0CAQSRR0000000,478
Updated On,0CAQSRR0000000,478
Ward,0CAQSRR0000000,478
X Coordinate,0CAQSRR0000000,186
Y Coordinate,0CAQSRR0000000,186
Year,0CAQSRR0000000,478
date_hour,0CAQSRR0000000,478
date_mday,0CAQSRR0000000,478
date_minute,0CAQSRR0000000,478
date_month,0CAQSRR0000000,478
date_second,0CAQSRR0000000,478
date_wday,0CAQSRR0000000,478
date_year,0CAQSRR0000000,478
date_zone,0CAQSRR0000000,478
host,0CAQSRR0000000,478
linecount,0CAQSRR0000000,478
punct,0CAQSRR0000000,478
source,0CAQSRR0000000,478
sourcetype,0CAQSRR0000000,478
timeendpos,0CAQSRR0000000,478
timestartpos,0CAQSRR0000000,478
,0CATBV30000000,374
Arrest,0CATBV30000000,374
Beat,0CATBV30000000,374
Block,0CATBV30000000,374
Case Number,0CATBV30000000,374
Community Area,0CATBV30000000,373
Date,0CATBV30000000,374
Description,0CATBV30000000,374
District,0CATBV30000000,374
Domestic,0CATBV30000000,374
FBI Code,0CATBV30000000,374
ID,0CATBV30000000,374
IUCR,0CATBV30000000,374
Latitude,0CATBV30000000,184
Location,0CATBV30000000,184
Location Description,0CATBV30000000,348
Longitude,0CATBV30000000,184
Primary Type,0CATBV30000000,374
Updated On,0CATBV30000000,374
Ward,0CATBV30000000,373
X Coordinate,0CATBV30000000,184
Y Coordinate,0CATBV30000000,184
Year,0CATBV30000000,374
date_hour,0CATBV30000000,374
date_mday,0CATBV30000000,374
date_minute,0CATBV30000000,374
date_month,0CATBV30000000,374
date_second,0CATBV30000000,374
date_wday,0CATBV30000000,374
date_year,0CATBV30000000,374
date_zone,0CATBV30000000,374
host,0CATBV30000000,374
linecount,0CATBV30000000,374
punct,0CATBV30000000,374
source,0CATBV30000000,374
sourcetype,0CATBV30000000,374
timeendpos,0CATBV30000000,374
timestartpos,0CATBV30000000,374
,0CAVTMN0000000,188
Arrest,0CAVTMN0000000,188
Beat,0CAVTMN0000000,188
Block,0CAVTMN0000000,188
Case Number,0CAVTMN0000000,188
Community Area,0CAVTMN0000000,188
Date,0CAVTMN0000000,188
Description,0CAVTMN0000000,188
District,0CAVTMN0000000,188
Domestic,0CAVTMN0000000,188
FBI Code,0CAVTMN0000000,188
ID,0CAVTMN0000000,188
IUCR,0CAVTMN0000000,188
Latitude,0CAVTMN0000000,100
Location,0CAVTMN0000000,100
Location Description,0CAVTMN0000000,180
Longitude,0CAVTMN0000000,100
Primary Type,0CAVTMN0000000,188
Updated On,0CAVTMN0000000,188
Ward,0CAVTMN0000000,188
X Coordinate,0CAVTMN0000000,100
Y Coordinate,0CAVTMN0000000,100
Year,0CAVTMN0000000,188
date_hour,0CAVTMN0000000,188
date_mday,0CAVTMN0000000,188
date_minute,0CAVTMN0000000,188
date_month,0CAVTMN0000000,188
date_second,0CAVTMN0000000,188
date_wday,0CAVTMN0000000,188
date_year,0CAVTMN0000000,188
date_zone,0CAVTMN0000000,188
host,0CAVTMN0000000,188
linecount,0CAVTMN0000000,188
punct,0CAVTMN0000000,188
source,0CAVTMN0000000,188
sourcetype,0CAVTMN0000000,188
timeendpos,0CAVTMN0000000,188
timestartpos,0CAVTMN0000000,188
,0CB2FEB0000000,171
Arrest,0CB2FEB0000000,171
Beat,0CB2FEB0000000,171
Block,0CB2FEB0000000,171
Case Number,0CB2FEB0000000,171
Community Area,0CB2FEB0000000,171
Date,0CB2FEB0000000,171
Description,0CB2FEB0000000,171
District,0CB2FEB0000000,171
Domestic,0CB2FEB0000000,171
FBI Code,0CB2FEB0000000,171
ID,0CB2FEB0000000,171
IUCR,0CB2FEB0000000,171
Latitude,0CB2FEB0000000,96
Location,0CB2FEB0000000,96
Location Description,0CB2FEB0000000,166
Longitude,0CB2FEB0000000,96
Primary Type,0CB2FEB0000000,171
Updated On,0CB2FEB0000000,171
Ward,0CB2FEB0000000,171
X Coordinate,0CB2FEB0000000,96
Y Coordinate,0CB2FEB0000000,96
Year,0CB2FEB0000000,171
date_hour,0CB2FEB0000000,171
date_mday,0CB2FEB0000000,171
date_minute,0CB2FEB0000000,171
date_month,0CB2FEB0000000,171
date_second,0CB2FEB0000000,171
date_wday,0CB2FEB0000000,171
date_year,0CB2FEB0000000,171
date_zone,0CB2FEB0000000,171
host,0CB2FEB0000000,171
linecount,0CB2FEB0000000,171
punct,0CB2FEB0000000,171
source,0CB2FEB0000000,171
sourcetype,0CB2FEB0000000,171
timeendpos,0CB2FEB0000000,171
timestartpos,0CB2FEB0000000,171
,0CB4P8R0000000,185
Arrest,0CB4P8R0000000,185
Beat,0CB4P8R0000000,185
Block,0CB4P8R0000000,185
Case Number,0CB4P8R0000000,185
Community Area,0CB4P8R0000000,181
Date,0CB4P8R0000000,185
Description,0CB4P8R0000000,185
District,0CB4P8R0000000,185
Domestic,0CB4P8R0000000,185
FBI Code,0CB4P8R0000000,185
ID,0CB4P8R0000000,185
IUCR,0CB4P8R0000000,185
Latitude,0CB4P8R0000000,153
Location,0CB4P8R0000000,153
Location Description,0CB4P8R0000000,182
Longitude,0CB4P8R0000000,153
Primary Type,0CB4P8R0000000,185
Updated On,0CB4P8R0000000,185
Ward,0CB4P8R0000000,181
X Coordinate,0CB4P8R0000000,153
Y Coordinate,0CB4P8R0000000,153
Year,0CB4P8R0000000,185
date_hour,0CB4P8R0000000,185
date_mday,0CB4P8R0000000,185
date_minute,0CB4P8R0000000,185
date_month,0CB4P8R0000000,185
date_second,0CB4P8R0000000,185
date_wday,0CB4P8R0000000,185
date_year,0CB4P8R0000000,185
date_zone,0CB4P8R0000000,185
host,0CB4P8R0000000,185
linecount,0CB4P8R0000000,185
punct,0CB4P8R0000000,185
source,0CB4P8R0000000,185
sourcetype,0CB4P8R0000000,185
timeendpos,0CB4P8R0000000,185
timestartpos,0CB4P8R0000000,185
,0CB7ASUG000000,403
Arrest,0CB7ASUG000000,403
Beat,0CB7ASUG000000,403
Block,0CB7ASUG000000,403
Case Number,0CB7ASUG000000,403
Community Area,0CB7ASUG000000,392
