07-13-2025 00:00:01.420 INFO  SearchParser [249304 RunDispatch] - PARSING: search index=_internal sourcetype=splunkd_ui_access\n    method=GET "saved/searches"\n    | eval decodedUri=urldecode(uri_path)\n    | eval accessTimestamp=mvindex(split(uri_query, "_="),1)\n    | eval reportName=mvindex(split(mvindex(split(decodedUri, "saved/searches"),1),"/"),1)\n    | table user, reportName, accessTimestamp\n    | join left=L right=R where L.reportName = R.title [| rest splunk_server=* /servicesNS/-/-/saved/searches\n    | table title actions eai:acl.app search eai:acl.owner is_scheduled alert.track id author | rename eai:acl.app as app | rename eai:acl.owner as owner\n    | search is_scheduled=1 actions != "" alert.track=0 ]\n    | join left=accesslogs right=schedulerlogs type=left where accesslogs.L.reportName = schedulerlogs.savedsearch_name\n    [| search index=_internal sourcetype=scheduler NOT "action=ssg_mobile_alert"\n    |  table dispatch_time, savedsearch_name]\n    | eval dispatchTimePlusAday = 'schedulerlogs.dispatch_time' + 86400\n    | eval parsedDispatchTime=strftime('schedulerlogs.dispatch_time',"%m/%d/%y %H:%M:%S")\n    | eval dispatchTimePlusADay=strftime(dispatchTimePlusAday,"%m/%d/%y %H:%M:%S")\n    | eval parsedAccessTime=strftime(('accesslogs.L.accessTimestamp'/1000) ,"%m/%d/%y %H:%M:%S")\n    | eval accessedWithinOneDayofDispatch=if(parsedAccessTime<=dispatchTimePlusADay and parsedAccessTime >=parsedDispatchTime, "true", "false")
07-13-2025 00:00:01.421 INFO  SearchParser [249304 RunDispatch] - PARSING: | rest splunk_server=* /servicesNS/-/-/saved/searches     | table title actions eai:acl.app search eai:acl.owner is_scheduled alert.track id author | rename eai:acl.app as app | rename eai:acl.owner as owner     | search is_scheduled=1 actions != "" alert.track=0  | rename * as R.* | rename R._* as _* | eval jk0='R.title'
07-13-2025 00:00:01.421 INFO  SearchParser [249304 RunDispatch] - PARSING: | search index=_internal sourcetype=scheduler NOT "action=ssg_mobile_alert"     |  table dispatch_time, savedsearch_name | rename * as schedulerlogs.* | rename schedulerlogs._* as _* | eval jk0='schedulerlogs.savedsearch_name'
07-13-2025 00:00:01.421 INFO  dispatchRunner [249304 RunDispatch] - Search running in non-clustered mode
07-13-2025 00:00:01.421 INFO  dispatchRunner [249304 RunDispatch] - SearchHeadInitSearchMs=31
07-13-2025 00:00:01.421 INFO  dispatchRunner [249304 RunDispatch] - Executing the Search orchestrator and iterator model (dfs=false).
07-13-2025 00:00:01.436 INFO  SearchOrchestrator [249304 RunDispatch] - SearchOrchestrator is constructed.  sid=scheduler__nobody_c3BsdW5rX3NlY3VyZV9nYXRld2F5__RMD517c0938212b6a825_at_1752354000_8, eval_only=0
07-13-2025 00:00:01.436 INFO  SearchOrchestrator [249304 RunDispatch] -  Initialized the SRI
07-13-2025 00:00:01.438 INFO  SearchFeatureFlags [249304 RunDispatch] - Initializing feature flags from config. feature_seed=1864519355
07-13-2025 00:00:01.439 INFO  SearchFeatureFlags [249304 RunDispatch] - Setting feature_flag=parallelreduce:enablePreview:true
07-13-2025 00:00:01.439 INFO  SearchFeatureFlags [249304 RunDispatch] - Setting feature_flag=search:search_retry:false
07-13-2025 00:00:01.439 INFO  SearchFeatureFlags [249304 RunDispatch] - Setting feature_flag=search:search_retry_realtime:false
07-13-2025 00:00:01.439 INFO  SearchFeatureFlags [249304 RunDispatch] - Setting feature_flag=parallelreduce:autoAppliedPercentage:false
07-13-2025 00:00:01.439 INFO  SearchFeatureFlags [249304 RunDispatch] - Setting feature_flag=subsearch:enableConcurrentPipelineProcessing:false
07-13-2025 00:00:01.439 INFO  SearchFeatureFlags [249304 RunDispatch] - Setting feature_flag=subsearch:concurrent_pipeline_adhoc:false
07-13-2025 00:00:01.439 INFO  SearchFeatureFlags [249304 RunDispatch] - Setting feature_flag=append:support_multiple_data_sources:false
07-13-2025 00:00:01.439 INFO  SearchFeatureFlags [249304 RunDispatch] - Setting feature_flag=join:support_multiple_data_sources:false
07-13-2025 00:00:01.439 INFO  SearchFeatureFlags [249304 RunDispatch] - Setting feature_flag=search_optimization::set_required_fields:stats:false
07-13-2025 00:00:01.439 INFO  SearchFeatureFlags [249304 RunDispatch] - Setting feature_flag=searchresults:srs2:false
07-13-2025 00:00:01.439 INFO  SearchFeatureFlags [249304 RunDispatch] - Setting feature_flag=search:read_final_results_from_timeliner:true
07-13-2025 00:00:01.439 INFO  SearchFeatureFlags [249304 RunDispatch] - Setting feature_flag=search:fetch_remote_search_telemetry:true
07-13-2025 00:00:01.439 INFO  SearchFeatureFlags [249304 RunDispatch] - Setting feature_flag=testing:boolean_flag:false
07-13-2025 00:00:01.439 INFO  SearchFeatureFlags [249304 RunDispatch] - Setting feature_flag=testing:percent_flag:true
07-13-2025 00:00:01.439 INFO  SearchFeatureFlags [249304 RunDispatch] - Setting feature_flag=testing:legacy_flag:true
07-13-2025 00:00:01.439 INFO  SearchOrchestrator [249304 RunDispatch] - Search feature_flags={"v":1,"enabledFeatures":["parallelreduce:enablePreview","search:read_final_results_from_timeliner","search:fetch_remote_search_telemetry","testing:percent_flag","testing:legacy_flag"],"disabledFeatures":["search:search_retry","search:search_retry_realtime","parallelreduce:autoAppliedPercentage","subsearch:enableConcurrentPipelineProcessing","subsearch:concurrent_pipeline_adhoc","append:support_multiple_data_sources","join:support_multiple_data_sources","search_optimization::set_required_fields:stats","searchresults:srs2","testing:boolean_flag"]}
07-13-2025 00:00:01.440 INFO  ISplunkDispatch [249304 RunDispatch] - Not running in splunkd. Bundle replication not triggered.
07-13-2025 00:00:01.464 INFO  SearchOrchestrator [252508 searchOrchestrator] - Initialzing the run time settings for the orchestrator.
07-13-2025 00:00:01.464 INFO  UserManager [252508 searchOrchestrator] - Setting user context: admin
07-13-2025 00:00:01.464 INFO  UserManager [252508 searchOrchestrator] - Free version does not have user services
07-13-2025 00:00:01.464 INFO  UserManager [252508 searchOrchestrator] - Done setting user context: NULL -> NULL
07-13-2025 00:00:01.468 INFO  AdaptiveSearchEngineSelector [252508 searchOrchestrator] - Search execution_plan=classic
07-13-2025 00:00:01.468 INFO  SearchOrchestrator [252508 searchOrchestrator] - Creating the search DAG.
07-13-2025 00:00:01.468 INFO  SearchParser [252508 searchOrchestrator] - PARSING: search index=_internal sourcetype=splunkd_ui_access\n    method=GET "saved/searches"\n    | eval decodedUri=urldecode(uri_path)\n    | eval accessTimestamp=mvindex(split(uri_query, "_="),1)\n    | eval reportName=mvindex(split(mvindex(split(decodedUri, "saved/searches"),1),"/"),1)\n    | table user, reportName, accessTimestamp\n    | join left=L right=R where L.reportName = R.title [| rest splunk_server=* /servicesNS/-/-/saved/searches\n    | table title actions eai:acl.app search eai:acl.owner is_scheduled alert.track id author | rename eai:acl.app as app | rename eai:acl.owner as owner\n    | search is_scheduled=1 actions != "" alert.track=0 ]\n    | join left=accesslogs right=schedulerlogs type=left where accesslogs.L.reportName = schedulerlogs.savedsearch_name\n    [| search index=_internal sourcetype=scheduler NOT "action=ssg_mobile_alert"\n    |  table dispatch_time, savedsearch_name]\n    | eval dispatchTimePlusAday = 'schedulerlogs.dispatch_time' + 86400\n    | eval parsedDispatchTime=strftime('schedulerlogs.dispatch_time',"%m/%d/%y %H:%M:%S")\n    | eval dispatchTimePlusADay=strftime(dispatchTimePlusAday,"%m/%d/%y %H:%M:%S")\n    | eval parsedAccessTime=strftime(('accesslogs.L.accessTimestamp'/1000) ,"%m/%d/%y %H:%M:%S")\n    | eval accessedWithinOneDayofDispatch=if(parsedAccessTime<=dispatchTimePlusADay and parsedAccessTime >=parsedDispatchTime, "true", "false")
07-13-2025 00:00:01.469 INFO  SearchParser [252508 searchOrchestrator] - PARSING: | rest splunk_server=* /servicesNS/-/-/saved/searches     | table title actions eai:acl.app search eai:acl.owner is_scheduled alert.track id author | rename eai:acl.app as app | rename eai:acl.owner as owner     | search is_scheduled=1 actions != "" alert.track=0  | rename * as R.* | rename R._* as _* | eval jk0='R.title'
